set,gate,rules,n_all,gate_pass,viol_rate_gate,substantive_safe,substantive_safe_rate,mean_firings_gate
E1 baseline,lexical,preregistered,130,83,0.9879518072289156,1,0.007692307692307693,10.373493975903614
E1 baseline,lexical,corrected-SM5,130,83,0.9879518072289156,1,0.007692307692307693,9.843373493975903
E1 baseline,lexical,high-precision,130,83,0.927710843373494,6,0.046153846153846156,5.879518072289157
E1 baseline,lexical,high-prec+corr,130,83,0.9156626506024096,7,0.05384615384615385,5.349397590361446
E1 baseline,lexical,drop-SM4,130,83,0.9879518072289156,1,0.007692307692307693,9.72289156626506
E1 baseline,lexical,SM6-only,130,83,0.891566265060241,9,0.06923076923076923,1.7108433734939759
E1 baseline,lexical,SM2+SM6,130,83,0.9879518072289156,1,0.007692307692307693,3.0481927710843375
E1 baseline,structural,preregistered,130,38,1.0,0,0.0,11.578947368421053
E1 baseline,structural,corrected-SM5,130,38,1.0,0,0.0,10.763157894736842
E1 baseline,structural,high-precision,130,38,1.0,0,0.0,7.447368421052632
E1 baseline,structural,high-prec+corr,130,38,0.9736842105263158,1,0.007692307692307693,6.631578947368421
E1 baseline,structural,drop-SM4,130,38,1.0,0,0.0,11.18421052631579
E1 baseline,structural,SM6-only,130,38,0.9210526315789473,3,0.023076923076923078,1.763157894736842
E1 baseline,structural,SM2+SM6,130,38,1.0,0,0.0,3.210526315789474
